start_station_name,classic_bike,electric_bike
1 Ave & E 110 St,0,0
1 Ave & E 16 St,0,0
1 Ave & E 18 St,0,0
1 Ave & E 30 St,0,0
1 Ave & E 39 St,0,0
1 Ave & E 44 St,0,0
1 Ave & E 5 St,0,0
1 Ave & E 62 St,0,0
1 Ave & E 68 St,78847,21924
1 Ave & E 78 St,0,0
1 Ave & E 94 St,0,0
1 Pl & Clinton St,0,0
10 Ave & W 28 St,0,0
10 Hudson Yards,0,0
10 St & 2 Ave,0,0
10 St & 5 Ave,0,0
10 St & 7 Ave,0,0
11 Ave & W 27 St,0,0
11 Ave & W 41 St,0,0
11 Ave & W 59 St,0,0
11 St & 35 Ave,0,0
11 St & 43 Ave,0,0
12 Ave & W 125 St,0,0
12 Ave & W 40 St,90349,7074
12 St & 4 Ave,0,0
14 St & 5 Ave,0,0
14 St & 7 Ave,0,0
18 St & 27 Ave,0,0
19 St & 24 Ave,0,0
2 Av & E 125 St,0,0
2 Ave & 36 St,0,0
2 Ave & 36 St - Citi Bike HQ at Industry City,0,0
2 Ave & E 104 St,0,0
2 Ave & E 122 St,0,0
2 Ave & E 125 St,0,0
2 Ave & E 31 St,0,0
2 Ave & E 72 St,0,0
2 Ave & E 96 St,0,0
2 Ave & E 99 St,0,0
21 St & 23 Ave,0,0
21 St & 31 Dr,0,0
21 St & 36 Ave,0,0
21 St & 38 Ave,0,0
21 St & 43 Ave,0,0
21 St & Hoyt Ave S,0,0
21 St & Queens Plaza North,0,0
23 Ave & 27 St,0,0
24 Ave & 26 St,0,0
24 Ave & 29 St,0,0
24 St & 38 Ave,0,0
24 St & 41 Ave,0,0
24 St & 41 Ave (original),0,0
27 Ave & 3 St,0,0
27 Ave & 9 St,0,0
27 St & Hunter St,0,0
28 Ave & 35 St,0,0
28 Ave & 44 St,0,0
28 St & 36 Ave,0,0
28 St & 41 Ave,0,0
3 Ave & 14 St,0,0
3 Ave & Carroll St,0,0
3 Ave & E 100 St,0,0
3 Ave & E 112 St,0,0
3 Ave & E 163 St,0,0
3 Ave & E 169 St,0,0
3 Ave & E 170 St,0,0
3 Ave & E 172 St,0,0
3 Ave & E 174 St,0,0
3 Ave & E 174 St - Bathgate Vaccination Site,0,0
3 Ave & E 62 St,0,0
3 Ave & E 71 St,0,0
3 Ave & E 72 St,0,0
3 Ave & Franklin Ave,0,0
3 Ave & Schermerhorn St,0,0
3 St & 3 Ave,0,0
3 St & 7 Ave,0,0
3 St & Hoyt St,0,0
3 St & Prospect Park West,0,0
30 Ave & 21 St,0,0
31 Ave & 14 St,0,0
31 Ave & 30 St,0,0
31 Ave & 34 St,0,0
31 Ave & Crescent St,0,0
31 Ave & Steinway St,0,0
31 Ave & Steinway St (temp),0,0
31 St & 23 Ave,0,0
31 St & Astoria Blvd,0,0
31 St & Broadway,0,0
31 St & Hoyt Ave N,0,0
31 St & Newtown Ave,0,0
31 St & Northern Blvd,0,0
31 St & Thomson Ave,0,0
34 Ave & 13 St,0,0
34 Ave & 21 St,0,0
34 Ave & 31 St,0,0
34 Ave & 38 St,0,0
34 St & 35 Ave,0,0
34th Ave & Vernon Blvd,0,0
35 Ave & 10 St,0,0
35 Ave & 37 St,0,0
35 St & 23 Ave,0,0
35 St & 34 Ave,0,0
35 St & Broadway,0,0
36 Ave & 10 St,0,0
36 Ave & 31 St,0,0
37 Ave & 35 St,0,0
37 St & 24 Ave,0,0
38 Ave & 29 St,0,0
39 St & 2 Ave,0,0
39 St & 2 Ave - Citi Bike HQ at Industry City,0,0
4 Ave & 9 St,0,0
4 Ave & E 12 St,0,0
40 Ave & 9 St,0,0
40 Ave & Crescent St,0,0
43 St & Broadway,0,0
44 Dr & 21 St,0,0
44 Dr & Jackson Ave,0,0
45 Rd & 11 St,0,0
46 Ave & 5 St,0,0
47 Ave & 31 St,0,0
47 Ave & Skillman Ave,0,0
48 Ave & 30 Pl,0,0
48 Ave & 5 St,0,0
49 Ave & 21 St,0,0
5 Av & E 135 St,0,0
5 Av & W 139 St,0,0
5 Ave & 3 St,0,0
5 Ave & E 103 St,0,0
5 Ave & E 126 St,0,0
5 Ave & E 135 St,0,0
5 Ave & E 29 St,0,0
5 Ave & E 63 St,0,0
5 Ave & E 72 St,0,0
5 Ave & E 73 St,0,0
5 Ave & E 78 St,0,0
5 Ave & E 88 St,0,0
