area_type,hour,周末,工作日
住宅区,0,49514,79339
住宅区,1,33796,44228
住宅区,2,22793,27373
住宅区,3,14797,18845
住宅区,4,10843,23064
住宅区,5,11350,76064
住宅区,6,28042,215321
住宅区,7,46476,385441
住宅区,8,74772,495731
住宅区,9,113129,364899
住宅区,10,152064,313091
住宅区,11,187083,342564
住宅区,12,210233,395844
住宅区,13,219440,432516
住宅区,14,225461,487551
住宅区,15,226177,535582
住宅区,16,220526,610406
住宅区,17,205693,753402
住宅区,18,180260,686897
住宅区,19,148083,491719
住宅区,20,104567,331589
住宅区,21,78216,230431
住宅区,22,64800,183794
住宅区,23,53670,136895
商业区,0,124731,135694
商业区,1,93730,69854
商业区,2,69371,39766
商业区,3,43016,23636
商业区,4,24876,23819
商业区,5,14740,68014
商业区,6,28006,233987
商业区,7,56607,483302
商业区,8,105984,760586
商业区,9,172715,612965
商业区,10,253064,504397
商业区,11,324316,533354
商业区,12,373636,617231
商业区,13,393138,659792
商业区,14,402022,720377
商业区,15,396595,782800
商业区,16,387679,878660
商业区,17,359225,1099729
商业区,18,328358,1144781
商业区,19,268235,882073
商业区,20,192002,590257
商业区,21,144254,422672
商业区,22,124386,348859
商业区,23,107032,266283
