member_casual,hour,周末,工作日
casual,0,61428,64784
casual,1,47521,36122
casual,2,34337,21344
casual,3,22523,12808
casual,4,13602,11875
casual,5,7651,20344
casual,6,12164,51250
casual,7,22022,102733
casual,8,41774,162478
casual,9,77132,162809
casual,10,122419,170640
casual,11,160055,200464
casual,12,187312,233643
casual,13,203338,253778
casual,14,213131,284533
casual,15,213225,313738
casual,16,202481,334354
casual,17,184899,385153
casual,18,160884,383610
casual,19,132603,301498
casual,20,95372,212995
casual,21,71029,165011
casual,22,61608,148743
casual,23,52828,117925
member,0,125629,166701
member,1,89891,86089
member,2,61790,52039
member,3,39526,34320
member,4,26580,42131
member,5,22918,149641
member,6,50843,455846
member,7,94764,935621
member,8,159398,1357539
member,9,244076,993863
member,10,318745,729385
member,11,373669,739535
member,12,408969,836252
member,13,426119,891338
member,14,431332,988846
member,15,436436,1115732
member,16,430722,1314284
member,17,411544,1708919
member,18,382248,1634569
member,19,321774,1195110
member,20,241300,824168
member,21,183930,596241
member,22,153420,474870
member,23,122524,333558
