station_name,demand_count,supply_count,net_demand,supply_demand_ratio,gap_type
W 43 St & 10 Ave,13218,4850,8368,2.73,严重缺口
E 20 St & FDR Dr,12402,4126,8276,3.01,严重缺口
Riverside Blvd & W 67 St,10980,2939,8041,3.74,严重缺口
11 Ave & W 41 St,15557,7795,7762,2.0,严重缺口
Christopher St & Greenwich St,14279,6724,7555,2.12,严重缺口
W 44 St & 11 Ave,14006,7243,6763,1.93,严重缺口
Grand St & Samuel Dickstein Plaza,9577,2882,6695,3.32,严重缺口
1 Ave & E 18 St,12012,5767,6245,2.08,严重缺口
E 7 St & Ave B,9189,3333,5856,2.76,严重缺口
Suffolk St & Stanton St,9942,4444,5498,2.24,严重缺口
12 Ave & W 40 St,12847,7501,5346,1.71,严重缺口
Clinton St & Grand St,11443,6162,5281,1.86,严重缺口
9 Ave & W 22 St,11390,6143,5247,1.85,严重缺口
1 Ave & E 6 St,8897,3674,5223,2.42,严重缺口
E 7 St & Ave C,8444,3239,5205,2.61,严重缺口
FDR Drive & E 35 St,10413,5326,5087,1.96,严重缺口
Perry St & Bleecker St,7594,2739,4855,2.77,严重缺口
W 76 St & Columbus Ave,7839,3112,4727,2.52,严重缺口
West End Ave & W 60 St,14538,9835,4703,1.48,严重缺口
W 64 St & Thelonious Monk Circle,9960,5323,4637,1.87,严重缺口
E 91 St & 2 Ave,7670,3142,4528,2.44,严重缺口
E 11 St & Avenue B,6900,2406,4494,2.87,严重缺口
Henry St & Grand St,8902,4479,4423,1.99,严重缺口
Greenwich St & Perry St,8206,3784,4422,2.17,严重缺口
1 Ave & E 16 St,10781,6421,4360,1.68,严重缺口
E 77 St & 1 Ave,9629,5277,4352,1.82,严重缺口
E 88 St & 1 Ave,6714,2368,4346,2.84,严重缺口
E 2 St & Avenue B,7254,2948,4306,2.46,严重缺口
E 81 St & York Ave,5986,1813,4173,3.3,严重缺口
Driggs Ave & N Henry St,5825,1698,4127,3.43,严重缺口
W 47 St & 9 Ave,7039,2924,4115,2.41,严重缺口
E 2 St & Avenue C,6545,2442,4103,2.68,严重缺口
E 20 St & 2 Ave,9093,5050,4043,1.8,严重缺口
W 100 St & Broadway,6432,2400,4032,2.68,严重缺口
Columbus Ave & W 72 St,10838,6935,3903,1.56,严重缺口
E 14 St & Avenue B,6623,2769,3854,2.39,严重缺口
Central Park W & W 91 St,9749,5900,3849,1.65,严重缺口
W 50 St & 10 Ave,8297,4456,3841,1.86,严重缺口
Cherry St,5006,1178,3828,4.25,严重缺口
Rivington St & Ridge St,6357,2571,3786,2.47,严重缺口
W 87 St & West End Ave,6349,2572,3777,2.47,严重缺口
W 59 St & 10 Ave,10437,6678,3759,1.56,严重缺口
E 4 St & Ave B,6509,2774,3735,2.35,严重缺口
E 6 St & Avenue B,6582,2850,3732,2.31,严重缺口
St Marks Pl & 1 Ave,6321,2626,3695,2.41,严重缺口
E 7 St & Avenue A,7145,3452,3693,2.07,严重缺口
Riverside Dr & W 82 St,5554,1872,3682,2.97,严重缺口
E 11 St & 1 Ave,8123,4463,3660,1.82,严重缺口
E 5 St & Ave A,5534,1915,3619,2.89,严重缺口
E 5 St & Avenue C,5334,1739,3595,3.07,严重缺口
Riverside Dr & W 72 St,6511,2931,3580,2.22,严重缺口
E 3 St & 1 Ave,6635,3085,3550,2.15,严重缺口
W 54 St & 11 Ave,13577,10055,3522,1.35,严重缺口
Clinton Ave & Myrtle Ave,7066,3600,3466,1.96,严重缺口
Adelphi St & Myrtle Ave,5670,2279,3391,2.49,严重缺口
W 106 St & Central Park West,5747,2388,3359,2.41,严重缺口
46 Ave & 5 St,6249,2901,3348,2.15,严重缺口
Market St & Henry St,5903,2595,3308,2.27,严重缺口
West Thames St,6346,3042,3304,2.09,严重缺口
Bialystoker Pl & Delancey St,5593,2307,3286,2.42,严重缺口
W 47 St & 10 Ave,7163,3906,3257,1.83,严重缺口
E 85 St & York Ave,4308,1056,3252,4.08,严重缺口
Clinton St & Union St,4771,1520,3251,3.14,严重缺口
E 89 St & York Ave,6058,2834,3224,2.14,严重缺口
E 84 St & 1 Ave,6138,2950,3188,2.08,严重缺口
Amsterdam Ave & W 79 St,8090,4967,3123,1.63,严重缺口
Ave D & E 8 St,4519,1414,3105,3.2,严重缺口
Franklin St & Dupont St,6758,3654,3104,1.85,严重缺口
Riverside Dr & W 91 St,4639,1578,3061,2.94,严重缺口
Clinton St & Cherry St,5947,2898,3049,2.05,严重缺口
W 20 St & 8 Ave,7269,4245,3024,1.71,严重缺口
E 6 St & Avenue D,5172,2162,3010,2.39,严重缺口
E 12 St & Ave C,4526,1575,2951,2.87,严重缺口
Riverside Dr & W 104 St,4423,1507,2916,2.93,严重缺口
W 12 St & Hudson St,6438,3534,2904,1.82,严重缺口
Amsterdam Ave & W 73 St,9630,6742,2888,1.43,严重缺口
Amsterdam Ave & W 82 St,5635,2758,2877,2.04,严重缺口
Frederick Douglass Blvd & W 112 St,5612,2750,2862,2.04,严重缺口
W 70 St & Amsterdam Ave,7392,4540,2852,1.63,严重缺口
E 9 St & Avenue C,5724,2876,2848,1.99,严重缺口
Ave C & E 16 St,3917,1079,2838,3.63,严重缺口
E 13 St & 2 Ave,8431,5595,2836,1.51,严重缺口
Willoughby Ave & Hall St,6158,3337,2821,1.85,严重缺口
W 82 St & Central Park West,5216,2436,2780,2.14,严重缺口
Perry St & Greenwich Ave,6191,3427,2764,1.81,严重缺口
W 22 St & 10 Ave,11832,9111,2721,1.3,严重缺口
E 81 St & 1 Ave,4749,2032,2717,2.34,严重缺口
W 22 St & 8 Ave,9945,7248,2697,1.37,严重缺口
Central Park W & W 103 St,4776,2091,2685,2.28,严重缺口
Nassau Ave & Russell St,4383,1703,2680,2.57,严重缺口
Kane St & Clinton St,4598,1928,2670,2.38,严重缺口
W 25 St & 9 Ave,7065,4402,2663,1.6,严重缺口
E 82 St & East End Ave,5491,2839,2652,1.93,严重缺口
Central Park West & W 72 St,6668,4019,2649,1.66,严重缺口
W 87 St & Amsterdam Ave,4852,2215,2637,2.19,严重缺口
W 10 St & Washington St,5344,2715,2629,1.97,严重缺口
E 10 St & Avenue A,5986,3357,2629,1.78,严重缺口
Central Park W & W 97 St,5875,3268,2607,1.8,严重缺口
W 31 St & 7 Ave,16382,13788,2594,1.19,严重缺口
W 56 St & 10 Ave,8804,6227,2577,1.41,严重缺口
Pike St & Monroe St,3769,1238,2531,3.04,严重缺口
Broadway & Berry St,5596,3072,2524,1.82,严重缺口
Catherine St & Monroe St,4790,2296,2494,2.09,严重缺口
Avenue D & E 3 St,4777,2304,2473,2.07,严重缺口
W 106 St & Amsterdam Ave,3912,1440,2472,2.72,严重缺口
Columbia St & Rivington St,4853,2394,2459,2.03,严重缺口
Kingsland Ave & Nassau Ave,4988,2534,2454,1.97,严重缺口
W 100 St & Manhattan Ave,4757,2326,2431,2.05,严重缺口
W 49 St & 8 Ave,7528,5100,2428,1.48,严重缺口
E 14 St & 1 Ave,6766,4348,2418,1.56,严重缺口
Madison St & Montgomery St,4760,2345,2415,2.03,严重缺口
W 53 St & 10 Ave,6730,4353,2377,1.55,严重缺口
E 81 St & 3 Ave,4910,2551,2359,1.92,严重缺口
1 Ave & E 39 St,10698,8366,2332,1.28,严重缺口
W 54 St & 9 Ave,6039,3734,2305,1.62,严重缺口
Riverside Dr & W 78 St,3672,1381,2291,2.66,严重缺口
Allen St & Stanton St,7560,5270,2290,1.43,严重缺口
E 10 St & 2 Ave,6320,4044,2276,1.56,严重缺口
Broadway & Kent Ave,4775,2500,2275,1.91,严重缺口
Market St & Cherry St,3405,1151,2254,2.96,严重缺口
Franklin Ave & St Marks Ave,3500,1247,2253,2.81,严重缺口
11 Ave & W 59 St,7878,5643,2235,1.4,严重缺口
Greenwich Ave & Charles St,4849,2618,2231,1.85,严重缺口
Ave A & E 11 St,7918,5738,2180,1.38,严重缺口
Stagg St & Union Ave,3435,1275,2160,2.69,严重缺口
Central Park West & W 85 St,5767,3618,2149,1.59,严重缺口
Bank St & Washington St,5384,3257,2127,1.65,严重缺口
Carroll St & Columbia St,3499,1412,2087,2.48,严重缺口
E 12 St & 3 Ave,4626,2551,2075,1.81,严重缺口
W 84 St & Columbus Ave,6370,4304,2066,1.48,严重缺口
E 89 St & 3 Ave,4340,2288,2052,1.9,严重缺口
E 2 St & Avenue A,4994,2945,2049,1.7,严重缺口
Kosciuszko St & Tompkins Ave,3344,1307,2037,2.56,严重缺口
7 Ave S & Bleecker St,6036,4004,2032,1.51,严重缺口
W 42 St & Dyer Ave,4421,2389,2032,1.85,严重缺口
Columbus Ave & W 95 St,7142,5123,2019,1.39,严重缺口
8 Ave & W 24 St,6170,4153,2017,1.49,严重缺口
Washington Pl & 6 Ave,5281,3269,2012,1.62,严重缺口
Allen St & Hester St,6163,4164,1999,1.48,严重缺口
Grand Ave & Bergen St,3563,1565,1998,2.28,严重缺口
Congress St & Hicks St,3065,1070,1995,2.86,严重缺口
West End Ave & W 94 St,3509,1523,1986,2.3,严重缺口
W 52 St & 11 Ave,6595,4623,1972,1.43,严重缺口
Fulton St & Waverly Ave,4744,2778,1966,1.71,严重缺口
W 104 St & Amsterdam Ave,3636,1670,1966,2.18,严重缺口
Allen St & Rivington St,6294,4338,1956,1.45,严重缺口
St Marks Pl & 2 Ave,5206,3255,1951,1.6,严重缺口
W 30 St & 8 Ave,7354,5406,1948,1.36,严重缺口
Clermont Ave & Lafayette Ave,3908,1965,1943,1.99,严重缺口
Lewis Ave & Madison St,2709,788,1921,3.44,严重缺口
W 20 St & 7 Ave,9708,7791,1917,1.25,严重缺口
Greene Ave & Throop Ave,3124,1208,1916,2.59,严重缺口
W 107 St & Columbus Ave,3816,1903,1913,2.01,严重缺口
E 23 St & 1 Ave,11548,9661,1887,1.2,严重缺口
Frederick Douglass Blvd & W 115 St,3839,1959,1880,1.96,严重缺口
