area_type,hour,周末,工作日
住宅区,0,26167,42241
住宅区,1,17461,23542
住宅区,2,10493,14462
住宅区,3,6243,9373
住宅区,4,4790,12676
住宅区,5,6822,47971
住宅区,6,19286,149398
住宅区,7,35795,258007
住宅区,8,55704,343955
住宅区,9,84732,259948
住宅区,10,117945,213911
住宅区,11,146733,234248
住宅区,12,170504,276622
住宅区,13,187746,306857
住宅区,14,199067,336035
住宅区,15,205868,376914
住宅区,16,202783,441647
住宅区,17,186205,564526
住宅区,18,158252,516226
住宅区,19,123022,372977
住宅区,20,85426,233502
住宅区,21,56909,147989
住宅区,22,43601,109951
住宅区,23,33191,76493
商业区,0,56101,67029
商业区,1,37321,33994
商业区,2,20826,19138
商业区,3,12382,12200
商业区,4,7664,13505
商业区,5,8111,43513
商业区,6,20071,156589
商业区,7,44803,321888
商业区,8,83216,504593
商业区,9,134859,419279
商业区,10,193914,337520
商业区,11,249815,365431
商业区,12,300279,436562
商业区,13,333415,467577
商业区,14,351273,502252
商业区,15,357190,556297
商业区,16,346529,635175
商业区,17,317182,812460
商业区,18,275661,835153
商业区,19,215629,631812
商业区,20,154732,409830
商业区,21,105930,266641
商业区,22,82583,199283
商业区,23,62980,140659
