member_casual,hour,周末,工作日
casual,0,28713,36235
casual,1,21480,21673
casual,2,12110,12781
casual,3,7052,7089
casual,4,4301,5859
casual,5,3393,9392
casual,6,5933,25854
casual,7,12444,53331
casual,8,24861,85365
casual,9,45682,85718
casual,10,76034,89737
casual,11,110307,110990
casual,12,144964,138852
casual,13,172803,161188
casual,14,188338,181948
casual,15,192545,206040
casual,16,185948,227561
casual,17,166140,273163
casual,18,138520,282013
casual,19,106989,219897
casual,20,75359,149167
casual,21,52309,104692
casual,22,41310,84827
casual,23,32432,64611
member,0,53555,73035
member,1,33302,35863
member,2,19209,20819
member,3,11573,14484
member,4,8153,20322
member,5,11540,82092
member,6,33424,280133
member,7,68154,526564
member,8,114059,763183
member,9,173909,593509
member,10,235825,461694
member,11,286241,488689
member,12,325819,574332
member,13,348358,613246
member,14,362002,656339
member,15,370513,727171
member,16,363364,849261
member,17,337247,1103823
member,18,295393,1069366
member,19,231662,784892
member,20,164799,494165
member,21,110530,309938
member,22,84874,224407
member,23,63739,152541
