route,ride_count,avg_distance_km,min_distance_km,max_distance_km
West Drive & Prospect Park West → West Drive & Prospect Park West,12639,0.0,0.0,0.0
Central Park S & 6 Ave → Central Park S & 6 Ave,6839,0.0,0.0,0.0
12 Ave & W 40 St → 12 Ave & W 40 St,6573,0.0,0.0,0.0
12 Ave & W 125 St → 12 Ave & W 125 St,6222,0.0,0.0,0.0
Broadway & W 60 St → Broadway & W 60 St,5898,0.0,0.0,0.0
5 Ave & E 72 St → 5 Ave & E 72 St,5854,0.0,0.0,0.0
Brooklyn Bridge Park - Pier 2 → Brooklyn Bridge Park - Pier 2,5594,0.0,0.0,0.0
5 Ave & E 88 St → 5 Ave & E 88 St,5468,0.0,0.0,0.0
12 Ave & W 40 St → West St & Chambers St,5442,4.9,4.9,4.9
Grand Army Plaza & Plaza St West → Grand Army Plaza & Plaza St West,5305,0.0,0.0,0.0
Central Park North & Adam Clayton Powell Blvd → Central Park North & Adam Clayton Powell Blvd,5034,0.0,0.0,0.0
1 Ave & E 62 St → 1 Ave & E 68 St,4979,0.48,0.48,0.48
W 21 St & 6 Ave → 9 Ave & W 22 St,4885,0.78,0.78,0.78
Central Park West & W 72 St → Central Park West & W 72 St,4837,0.0,0.0,0.0
3 St & Prospect Park West → 3 St & Prospect Park West,4714,0.0,0.0,0.0
