area_type,hour,Weekend,Weekday
Commercial,0,194608,229518
Commercial,1,140284,118913
Commercial,2,96819,70713
Commercial,3,64580,45208
Commercial,4,40418,50191
Commercial,5,27656,139340
Commercial,6,51761,437287
Commercial,7,101322,921508
Commercial,8,182205,1517732
Commercial,9,299666,1180363
Commercial,10,416341,849468
Commercial,11,508477,847387
Commercial,12,572013,947560
Commercial,13,599017,1001537
Commercial,14,611815,1096503
Commercial,15,612459,1234866
Commercial,16,585557,1432296
Commercial,17,555978,1960310
Commercial,18,527326,1945324
Commercial,19,440220,1478874
Commercial,20,331546,1057340
Commercial,21,259480,788310
Commercial,22,222400,643487
Commercial,23,187782,464023
Residential,0,75967,120643
Residential,1,49004,64733
Residential,2,31311,39956
Residential,3,21296,28204
Residential,4,16575,36606
Residential,5,19621,123803
Residential,6,41848,322074
Residential,7,72755,676964
Residential,8,114156,913376
Residential,9,169891,635230
Residential,10,217161,478124
Residential,11,258636,506055
Residential,12,291216,577927
Residential,13,306009,619064
Residential,14,315980,718076
Residential,15,318854,826435
Residential,16,308454,971819
Residential,17,288073,1264446
Residential,18,263864,1058942
Residential,19,220006,742015
Residential,20,166798,533816
Residential,21,130523,395529
Residential,22,110546,314221
Residential,23,87134,220979
