member_casual,hour,Weekend,Weekday
casual,0,2114,1743
casual,1,1673,951
casual,2,1300,467
casual,3,744,291
casual,4,353,572
casual,5,386,1202
casual,6,659,3127
casual,7,1212,5706
casual,8,1849,7063
casual,9,3006,3927
casual,10,3856,3758
casual,11,4616,4516
casual,12,4986,5277
casual,13,5107,5659
casual,14,5154,6382
casual,15,5280,7953
casual,16,5249,9716
casual,17,5153,13921
casual,18,4747,13359
casual,19,4186,10443
casual,20,3272,7273
casual,21,2532,5797
casual,22,2284,4771
casual,23,1837,3327
member,0,2976,2903
member,1,1818,1297
member,2,1157,752
member,3,681,399
member,4,457,1938
member,5,654,6586
member,6,1345,19446
member,7,3440,37317
member,8,6000,47280
member,9,8922,23986
member,10,10878,17439
member,11,12193,18533
member,12,12031,21470
member,13,11822,21276
member,14,11006,22894
member,15,10880,28341
member,16,11082,37300
member,17,11099,58980
member,18,10137,55377
member,19,8736,36925
member,20,6518,24502
member,21,4868,17082
member,22,3614,11644
member,23,2892,7264
